group,mean_delta,std_delta,sem,ci_low,ci_high,t_stat,p_value,cohens_d
overall,-0.026555555555555575,0.13160964967572308,0.013160964967572308,-0.05266976534344753,-0.0004413457676636229,-2.017751405082119,0.046323271696863594,-0.20177514050821194
skill 1,-0.02000000000000004,0.11050125029061654,0.024708830724853695,-0.07171617706342191,0.031716177063421835,-0.8094272134003809,0.4282902958592555,-0.180993427200148
skill 2,-0.08777777777777782,0.19210877901844672,0.042956828895973215,-0.17768745395815166,0.002131898402596033,-2.0433951954494973,0.05513160721916097,-0.4569170561921545
skill 3,0.00499999999999996,0.12763022245616645,0.028538985339540836,-0.05473278280406508,0.064732782804065,0.17519894069507955,0.8627768971413798,0.039175674098015215
skill 4,-0.009999999999999964,0.05525062514530805,0.0123544153624268,-0.0358580885317108,0.01585808853171087,-0.8094272134003795,0.4282902958592565,-0.18099342720014772
skill 5,-0.020000000000000018,0.1281446551034375,0.028654015976455158,-0.07997354469412064,0.03997354469412061,-0.6979824404521134,0.4936425876371025,-0.15607361839521244
Entw.,-0.07999999999999999,0.158113883008419,0.0316227766016838,-0.14526620314289954,-0.01473379685710044,-2.5298221281347026,0.01838889190155909,-0.5059644256269406
SCRUM,-8.881784197001253e-17,0.11547005383792511,0.02309401076758502,-0.047663695605440926,0.047663695605440745,-3.845925372767129e-15,0.999999999999997,-7.691850745534259e-16
Sr. Lead,0.024000000000000004,0.07788880963698618,0.015577761927397234,-0.008150920435338948,0.05615092043533895,1.540657773039286,0.1364828317924259,0.30813155460785724
Team L.,-0.05022222222222224,0.141752697189485,0.028350539437896997,-0.10873485978947643,0.008290415345031957,-1.7714732494680054,0.08918130234686446,-0.3542946498936011
